nome_do_orgao,pedidos_nao_concedidos,total_pedidos_recebidos,%_nao_concedidos
MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte),31254,46090,0.6781080494684313
CEF – Caixa Econômica Federal,18332,32915,0.5569497189731125
AN – Arquivo Nacional,1602,3120,0.5134615384615384
GSI-PR – Gabinete de Segurança Institucional da Presidência da República,1111,2197,0.5056895766954939
PREVIC – Superintendência Nacional de Previdência Complementar,554,1187,0.4667228306655434
BB – Banco do Brasil S.A.,4844,10736,0.45119225037257826
ECT – Empresa Brasileira de Correios e Telégrafos,7648,17038,0.4488789764056814
AGU – Advocacia-Geral da União,2826,6497,0.4349699861474527
SUSEP – Superintendência de Seguros Privados,8943,20686,0.43232137677656385
SERPRO – Serviço Federal de Processamento de Dados,1051,2502,0.42006394884092724
ANATEL – Agência Nacional de Telecomunicações,4296,10267,0.4184279731177559
ME - Ministério da Economia,44528,106606,0.41768755979963607
CVM – Comissão de Valores Mobiliários,1106,2684,0.4120715350223547
FNDE – Fundo Nacional de Desenvolvimento da Educação,4236,10351,0.40923582262583325
MRE – Ministério das Relações Exteriores,2950,8379,0.3520706528225325
CGU – Controladoria-Geral da União,4089,11906,0.3434402822106501
TRANSPETRO - Petrobras Transporte S.A,794,2326,0.3413585554600172
ANCINE – Agência Nacional do Cinema,644,1936,0.33264462809917356
FINEP – Financiadora de Estudos e Projetos,551,1675,0.328955223880597
SGPR – Secretaria-Geral da Presidência da República,1808,5647,0.32017000177085175
CEX – Comando do Exército,3307,10494,0.3151324566418906
CMAR – Comando da Marinha,1232,3980,0.30954773869346736
CC-PR – Casa Civil da Presidência da República,1034,3364,0.30737217598097505
INSS – Instituto Nacional do Seguro Social,17202,56247,0.3058296442476932
BASA – Banco da Amazônia S.A.,315,1034,0.30464216634429403
ANTT – Agência Nacional de Transportes Terrestres,1868,6132,0.30463144161774297
BACEN – Banco Central do Brasil,6612,21731,0.3042657954074824
CADE – Conselho Administrativo de Defesa Econômica,396,1321,0.29977289931869794
MD – Ministério da Defesa,1141,3854,0.29605604566683963
EPE – Empresa de Pesquisa Energética,461,1569,0.29381771829190567
DPF – Departamento de Polícia Federal,4459,15207,0.2932202275267969
COMAER – Comando da Aeronáutica,1424,5024,0.28343949044585987
FIOCRUZ – Fundação Oswaldo Cruz,488,1825,0.2673972602739726
FUNRei - Fundação Universidade Federal de São João Del Rei,298,1150,0.2591304347826087
ELETROBRÁS – Centrais Elétricas Brasileiras S.A.,751,2927,0.25657669969251795
UFRJ – Universidade Federal do Rio de Janeiro,884,3467,0.25497548312662244
CMB – Casa da Moeda do Brasil,263,1046,0.251434034416826
"MCTI – Ministério da Ciência, Tecnologia, Inovações",2493,10016,0.2489017571884984
ANS – Agência Nacional de Saúde Suplementar,1458,6032,0.241710875331565
MJSP – Ministério da Justiça e Segurança Pública,2945,12405,0.23740427247077792
PETROBRAS – Petróleo Brasileiro S.A.,4782,20194,0.23680301079528573
MINFRA - Ministério da Infraestrutura,2517,10698,0.23527762198541782
DPRF – Departamento de Polícia Rodoviária Federal,1710,7299,0.2342786683107275
MME – Ministério de Minas e Energia,929,3986,0.23306573005519318
MTur - Ministério do Turismo (Turismo e Cultura),689,2981,0.23113049312311304
INFRAERO – Empresa Brasileira de Infra-Estrutura Aeroportuária,698,3118,0.22386144964720975
UFSC – Universidade Federal de Santa Catarina,536,2431,0.22048539695598518
IBGE – Fundação Instituto Brasileiro de Geografia e Estatística,2024,9222,0.21947516807633918
"VALEC – Engenharia, Construções e Ferrovias S.A.",450,2052,0.21929824561403508
IPHAN – Instituto do Patrimônio Histórico e Artístico Nacional,532,2438,0.21821164889253486
